date,OT,dgs1mo,dbaa,t5yifr
2021-07-07,14665.05957,0.05,3.22,2.13
2021-07-08,14559.78027,0.06,3.21,2.06
2021-07-09,14701.91992,0.06,3.28,2.12
2021-07-12,14733.24023,0.05,3.29,2.18
2021-07-13,14677.65039,0.05,3.33,2.16
2021-07-14,14644.9502,0.06,3.28,2.15
2021-07-15,14543.12988,0.05,3.23,2.11
2021-07-16,14427.24023,0.05,3.24,2.14
2021-07-19,14274.98047,0.05,3.16,2.07
2021-07-20,14498.87988,0.05,3.21,2.12
2021-07-21,14631.9502,0.04,3.26,2.11
2021-07-22,14684.59961,0.04,3.22,2.1
2021-07-23,14836.99023,0.05,3.23,2.17
2021-07-26,14840.70996,0.05,3.23,2.21
2021-07-27,14660.58008,0.04,3.2,2.21
2021-07-28,14762.58008,0.04,3.22,2.25
2021-07-29,14778.25977,0.05,3.22,2.28
2021-07-30,14672.67969,0.05,3.19,2.24
2021-08-02,14681.07031,0.05,3.15,2.23
2021-08-03,14761.29004,0.05,3.16,2.25
2021-08-04,14780.53027,0.05,3.15,2.2
2021-08-05,14895.12012,0.05,3.18,2.2
2021-08-06,14835.75977,0.04,3.25,2.24
2021-08-09,14860.17969,0.04,3.28,2.24
2021-08-10,14788.08984,0.05,3.31,2.27
2021-08-11,14765.13965,0.05,3.34,2.29
2021-08-12,14816.25977,0.05,3.35,2.27
2021-08-13,14822.90039,0.04,3.27,2.22
2021-08-16,14793.75977,0.04,3.23,2.22
2021-08-17,14656.17969,0.03,3.24,2.17
2021-08-18,14525.91016,0.03,3.24,2.16
2021-08-19,14541.79004,0.04,3.22,2.11
2021-08-20,14714.66016,0.04,3.22,2.14
2021-08-23,14942.65039,0.04,3.22,2.11
2021-08-24,15019.79981,0.03,3.24,2.15
2021-08-25,15041.86035,0.04,3.28,2.19
2021-08-26,14945.80957,0.04,3.26,2.16
2021-08-27,15129.5,0.04,3.23,2.25
2021-08-30,15265.88965,0.04,3.21,2.23
2021-08-31,15259.24023,0.03,3.24,2.18
2021-09-01,15309.37988,0.04,3.23,2.2
2021-09-02,15331.17969,0.05,3.21,2.17
2021-09-03,15363.51953,0.04,3.24,2.2
2021-09-07,15374.33008,0.04,3.29,2.21
2021-09-08,15286.63965,0.05,3.26,2.23
2021-09-09,15248.25,0.07,3.2,2.21
2021-09-10,15115.49023,0.06,3.23,2.25
2021-09-13,15105.58008,0.06,3.2,2.21
2021-09-14,15037.75977,0.05,3.15,2.17
2021-09-15,15161.53027,0.04,3.16,2.19
2021-09-16,15181.91992,0.06,3.18,2.17
2021-09-17,15043.96973,0.06,3.2,2.15
2021-09-20,14713.90039,0.06,3.15,2.15
2021-09-21,14746.40039,0.05,3.16,2.14
2021-09-22,14896.84961,0.04,3.15,2.15
2021-09-23,15052.24023,0.05,3.22,2.14
2021-09-24,15047.7002,0.06,3.27,2.21
2021-09-27,14969.96973,0.06,3.26,2.2
2021-09-28,14546.67969,0.07,3.34,2.23
2021-09-29,14512.44043,0.05,3.36,2.22
2021-09-30,14448.58008,0.07,3.37,2.23
2021-10-01,14566.7002,0.08,3.33,2.25
2021-10-04,14255.48047,0.09,3.34,2.23
2021-10-05,14433.83008,0.1,3.38,2.31
2021-10-06,14501.91016,0.06,3.37,2.29
2021-10-07,14654.01953,0.03,3.43,2.31
2021-10-08,14579.54004,0.02,3.45,2.36
2021-10-12,14465.91992,0.03,3.41,2.34
2021-10-13,14571.63965,0.03,3.35,2.36
2021-10-14,14823.42969,0.05,3.33,2.35
2021-10-15,14897.33984,0.04,3.35,2.41
2021-10-18,15021.80957,0.05,3.31,2.37
